溪流名稱,別名
阿里史溪,
阿里史溪後湖支線,
阿里荖漁港,
阿里磅溪,
阿夜西溪,安夜西溪
阿拔泉溪,
阿花來溪,
阿眉溪,
阿美仔坑,
阿美溪,阿眉溪
阿烏溪,
阿勢坑,
阿塱衛溪,
阿樂阿樂岸溪,
阿彌陀坑,
青山港(內港),
青山港(外港),
青埔人埤,
青埔仔埤,
青埔埤,
青草湖,
青番頭坑,
青窩埤,
青潭溪,
俊哪水庫,
保力溪,
保成坑,
保長坑溪,
保養溪,
信興養魚池,
前浦溪,
前慈湖,
前鎮溪,
前鎮運河,
前鎮漁港,
南三間屋溪,
南山溪,
南仁鬱溪,
南化水庫,
南方澳漁港,
南北橋圳,
南平坑,
南平漁港,
南打鐵坑,
南打鐵坑圳,
南石寧埔溪,
南圳,
南庄溪,
南坑,水璉南溪
南坑,
南坑(水漣南溪),
南坑(水璉南溪),
南坑頂圳,
南坑溪,
南投埤,
南投埤坑,
南坪圳,
南河,
南河圳,
南河溪,
南風寮坑,
南埔圳,
南埔溪,
南崁圳,
南崁頂圳,
南崁溪,
南掃別溪,
南清水溝溪,
南清水溪,
南郭坑溪,
南港溪,南烘溪
南港溪,頭股溪
南港溪,
南港溪(南烘溪),
南港溪(頭股溪),
南港溪上游,
南湖坑,
南湖溪,
南雅大坑,
南雅漁港,
南勢坑,
南勢坑溪,
南勢埔坑排水,
南勢湖溪,南湖溪
南勢湖溪,
南勢溪,
南溪,仙水溪
南溪,
南溪(仙水溪),
南靖溪,
南榮河,
南寮港,
南寮溪,
南寮漁港,
南澳北溪,
南澳南溪,
南澳溪,大南澳溪
南澳溪,
南興溪,
南頭河,
南龍圳,
南龍坑溪,
南灣溪,
厚殼溪,
叛散埤,
哆囉固溪,
哈尤溪,
哈盆溪,
城子埔二號圳,
城子埔溪,
城山溪,
城埔溪,
城廓圳,
奎輝溪,
姜子寮坑,
姜子寮溪,
客人坑,
客雅南北圳,
客雅溪,
屎穴溝,
巷內坑,
建和溪,
待人北坑,
後大埔溪,
後旦溪,
後庄仔埤,
後庄埤,
後池堰,
後坑子坑,
後坑子溪,後坑溪
後坑子溪,
後坑仔溪,
後坑溪,
後村圳,
後勁溪,
後勁溪後勁支線,
後洲溪,
後厝溪,
後堀溪,
後港溪,
後湖塘(桃園大圳第十,
後湖溪,
後街溪,
後慈湖,
後寮溪,
後層坑,
後壁坑,
後壁湖漁港,
後壁溪,
後龍溪,
後灣港,
思樣子坑,
急水溪,
拜律溪,
拱子溝,
拱子溝溪,
拷潭大排水溝,
指南溪,
挖子漁港,
春日溪,
柑子林溝,
柑仔山溪,
柑仔坑,牛相觸三號坑
柑仔坑,
柑仔坑(牛相觸三號坑),
柑仔坑溪,
柑林坑,
柑脚溪,
柑腳溪,
柚子腳坑,
柚子頭溪,
柚仔坑,
柚仔坑溪,
柯子湖溪,柯壢坑
柯志溪,
柯厝坑,
柯殼溪,
柳川,
柳仔坑,
柳樹埤,
段巷溪,
泉水坑,
泉州厝溝,
洋仔厝溪,
洗水坑,
洗布埤,
津林溪,
洽溪,
洽溪溪,
流東溪,
流麻溝,
流壁下坑,
流興溪,
流藤坑溪,
流籐坑溪,
炭坑,
炭寮坑,
珍東坑,
界橋溪,
相思湖,
相原溪,
眉原溪,
眉溪,
砂仔坑溝,
砂卡礑溪,
砂崙河,
科仔林溪,
科底溪,
科蘭溪,
穿龍圳山幹線,
穿龍圳北幹線,
穿龍圳南幹線,
竿蓁林溪,
紅土厝埤,
紅土溪,
紅毛港,
紅毛溪,
紅水仙溪,水仙溪
紅水仙溪,
紅水坑溪,
紅水瑔溪,
紅仔抖坑,
紅仙泉坑,
紅石溪,
紅花園坑溝,
紅泉坑,
紅埤,
紅菜坑,
紅葉圳,
紅葉溪,
紅達拉溪,
紅橋溪,
紅糖埤,
紅頭溪,
美好里漁港,
美秀溪,
美崙溪,娑婆礑溪
美崙溪,
美崙溪(娑婆礑溪),
美雅溪,
美濃溪,
美優溪,
美羅坑溝,
美羅溪,
耶克糾溪,
胡桶小坑排水溝,
苑裡溪,大埔溪
苑裡溪,
苑裡溪(大埔溪),
苑裡漁港,
苓仔溪,苓仔齋溪
苓仔溪,苓雅溪
苓仔溪(苓仔齋溪),
苦仔坑溪,
苦瓜寮坑,
苦竹溪,
苦林坑,
苦苓湖溪,
苦苓腳排水,
苦苓腳溪,
苧仔寮坑,
苧園坑,
茂安溪,
茄冬坑,
茄苳坑,
茄苳排水,
茄苳湖,
茄苳溪,
茄苳腳排水溝,
茄苳寮溪,
茄苳樹坑,
茄苳瀑布,
茄荖溪,
茅仔埔圳,
茅埔圳,
茅埔坑,
茅草山溝,
軍功寮溪,龍眼林溪
軍功寮溪(龍眼林溪),
重安溪,
