name,alt,city,town
大安溪,,苗栗縣,"苑裡鎮,三義鄉,卓蘭鎮,泰安鄉"
東壘溪,,宜蘭縣,大同鄉
高寮溪,,花蓮縣,玉里鎮
泰崗溪,,新竹縣,尖石鄉
五十溪,,宜蘭縣,員山鄉
烏塗溪,,新北市,石碇區
小礁溪,,宜蘭縣,礁溪鄉
小路溪,,屏東縣,"滿州鄉,牡丹鄉"
雪山坑溪,,臺中市,和平區
旭海溪,牡丹溪,屏東縣,牡丹鄉
尋腰溪,,花蓮縣,玉里鎮
松羅溪,,宜蘭縣,大同鄉
螺仔溪,,花蓮縣,富里鄉
呂範溪,,花蓮縣,玉里鎮
內溝溪,,臺北市,"內湖區,新北市汐止區"
加走寮溪,,南投縣,竹山鎮
加都魯溪,,屏東縣,滿州鄉
石子坑溪,,雲林縣,斗六市
志樂溪,,臺中市,和平區
典寶溪排水,典寶溪,高雄市,
官田溪,,臺南市,官田區
岡山溪,,高雄市,岡山區
油車溪,,臺南市,"楠西區,玉井區"
阿里不動溪,,南投縣,信義鄉
後旦溪,,臺南市,玉井區
美優溪,,宜蘭縣,大同鄉
苓仔溪,苓雅溪,花蓮縣,玉里鎮
過溪,,南投縣,竹山鎮
樟平溪,,南投縣,中寮鄉
員潭溪,,新北市,"金山區,萬里區"
四重溪,,屏東縣,"牡丹鄉,車城鄉"
外雙溪,,臺北市,"北投區,士林區"
太平溪,大巴六九溪,臺東縣,"臺東市,卑南鄉"
太麻里溪,,臺東縣,"太麻里鄉,金峰鄉"
後勁溪,,高雄市,"楠梓區,仁武區,大社區"
得子口溪,,宜蘭縣,"礁溪鄉,壯圍鄉,頭城鎮"
房裡溪,,苗栗縣,苑裡鎮
文里溪,,臺東縣,"太麻里鄉,金峰鄉"
新城溪,,宜蘭縣,"蘇澳鎮,冬山鄉,南澳鄉,大同鄉"
新港溪,"成功溪,巴拿尼灣溪",臺東縣,成功鎮
新豐溪,,新竹縣,"新豐鄉,湖口鄉"
老田寮溪,,苗栗縣,頭屋鄉
溫寮溪,,臺中市,"大安區,大甲區,外埔區"
紅水仙溪,水仙溪,新北市,"八里區,林口區"
食水嵙溪,,臺中市,"石岡區,新社區"
長濱溪,,臺東縣,長濱鄉
港口溪,,屏東縣,"滿州鄉,恆春鎮,牡丹鄉"
羊寮溪,福興溪,桃園市,"新屋區,楊梅區"
都威溪,,臺東縣,成功鎮
石公溪,,花蓮縣,秀林鄉
塔羅灣溪,,南投縣,仁愛鄉
白沙彌溪,,屏東縣,滿州鄉
拔西猴溪,,基隆市,七堵區
北溝溪,,臺中市,霧峰區
鳳林溪,,花蓮縣,鳳林鎮
武鹿溪,,高雄市,旗山區
新隆河,"老雞隆溪,雞隆河",苗栗縣,銅鑼鄉
崙天溪,,花蓮縣,卓溪鄉
瑪陵坑溪,,基隆市,七堵區
水里溪,,南投縣,"水里鄉,魚池鄉"
旗山溪,,高雄市,"那瑪夏區,甲仙區,杉林區,旗山區"
德盛溪,,桃園市,",新竹縣"
沙河溪,,苗栗縣,頭屋鄉
冬山河,,宜蘭縣,"冬山鄉,五結鄉"
二仁溪,,高雄市,"內門區,田寮區,阿蓮區,路竹區,湖內區,茄萣區"
萬大溪,,南投縣,仁愛鄉
加鹿溪,,臺東縣,"關山鎮,海端鄉"
四重溪,,宜蘭縣,大同鄉四季部落
石榴班溪,,雲林縣,斗六市
和平北溪,,宜蘭縣,南澳鄉
